Wavelength [nm],Daylight (5000K),Fluorescent (5000K),LED (5000K),4-LED mixture (5000K)
380,0.23732,0.035484,0.0014155,2.4639e-08
385,0.26343,0.043988,0.0030824,1.7499e-07
390,0.28953,0.053079,0.0089577,1.0968e-06
395,0.38375,0.062463,0.0025038,6.0669e-06
400,0.47798,0.092962,0.0039197,2.9615e-05
405,0.51293,0.38358,0.0059618,0.00012758
410,0.54788,0.11232,0.0035839,0.00048501
415,0.56497,0.10117,0.0092559,0.0016272
420,0.58206,0.1132,0.016539,0.0048177
425,0.57134,0.12962,0.037,0.012588
430,0.56061,0.14927,0.072838,0.029031
435,0.6431,1,0.14163,0.059213
440,0.7256,0.36422,0.25608,0.10876
445,0.78587,0.22522,0.44251,0.19483
450,0.84614,0.2522,0.7348,0.378
455,0.86248,0.27742,0.98349,0.69938
460,0.87883,0.30029,1,0.94369
465,0.88252,0.31789,0.75325,0.82004
470,0.88622,0.33226,0.56851,0.48761
475,0.90438,0.3434,0.44542,0.25372
480,0.92255,0.35132,0.33289,0.14798
485,0.90732,0.35689,0.26017,0.098257
490,0.8921,0.36012,0.22974,0.076002
495,0.91037,0.36129,0.2252,0.075039
500,0.92864,0.36217,0.24253,0.092023
505,0.93298,0.36481,0.28053,0.1277
510,0.93732,0.36804,0.33308,0.19215
515,0.93984,0.37185,0.38829,0.30178
520,0.94237,0.37449,0.44175,0.45572
525,0.9665,0.37302,0.48885,0.60559
530,0.99063,0.3695,0.52712,0.67031
535,0.98413,0.36452,0.55664,0.6085
540,0.97762,0.35836,0.58515,0.46405
545,0.98522,0.84927,0.60125,0.32098
550,0.99281,0.48416,0.61768,0.23084
555,0.98159,0.34575,0.6269,0.19752
560,0.97036,0.34487,0.63557,0.21476
565,0.95938,0.34516,0.64153,0.30992
570,0.94841,0.34721,0.6393,0.50119
575,0.95416,0.42845,0.63848,0.6398
580,0.95992,0.47243,0.63328,0.54203
585,0.93365,0.36188,0.62283,0.32256
590,0.90739,0.36745,0.61042,0.17894
595,0.92774,0.37302,0.59209,0.12823
600,0.9481,0.37889,0.56978,0.128
605,0.95579,0.38475,0.54709,0.16722
610,0.96349,0.3912,0.51875,0.27268
615,0.9624,0.39912,0.48983,0.51854
620,0.96132,0.40674,0.46387,0.87032
625,0.94522,0.41261,0.43069,1
630,0.92913,0.41642,0.40286,0.74002
635,0.94438,0.41525,0.37344,0.39969
640,0.95962,0.41437,0.34436,0.20608
645,0.94416,0.42053,0.31429,0.11506
650,0.92869,0.42522,0.28587,0.062632
655,0.94096,0.42405,0.25988,0.030695
660,0.95323,0.41056,0.23553,0.013304
665,0.97661,0.36891,0.21027,0.0050892
670,1,0.32229,0.18754,0.0017181
675,0.98123,0.29267,0.165,0.00051185
680,0.96245,0.27038,0.14616,0.00013457
685,0.90539,0.25279,0.1296,3.1224e-05
690,0.84833,0.23666,0.11604,6.3934e-06
695,0.86885,0.21672,0.10432,1.1553e-06
700,0.88937,0.19677,0.090627,1.8423e-07
705,0.89558,0.18065,0.079671,2.5926e-08
710,0.90179,0.1651,0.070766,3.2198e-09
715,0.82396,0.14751,0.066397,3.5289e-10
720,0.74613,0.13079,0.058919,3.4132e-11
725,0.79299,0.11789,0.051168,2.9134e-12
730,0.83986,0.10733,0.048487,2.1946e-13
735,0.86932,0.098534,0.037733,1.4588e-14
740,0.89877,0.090616,0.037287,8.5582e-16
745,0.82911,0.083578,0.033752,4.4307e-17
750,0.75946,0.077713,0.026154,2.0243e-18
755,0.65977,0.073607,0.030632,8.1618e-20
760,0.56009,0.069501,0.019517,2.9041e-21
765,0.68256,0.06305,0.012304,9.1192e-23
770,0.80503,0.055425,0.025829,2.527e-24
775,0.78246,0.047214,0.015583,6.18e-26
780,0.75989,0.03871,0.022535,1.3338e-27
